Sr. No.,Venue,Stage,Team 1,Team 2,Toss Winner,Toss decision,First Batting,Second batting,First  Innings Score ,second Innings Score,First  Innings Run Rate,Second  Innings Run Rate,Winner,Won by,Player of the match
60,"Eden Gardens, Kolkata",Group Stage,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Bowling,Kolkata Knight Riders,Mumbai Indians,157/7,139/8,RR 9.81,RR 8.69,KKR,18 runs,Varun Chakaravarthy
61,"MA Chidambaram Stadium, Chennai",Group Stage,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Batting,Rajasthan Royals,Chennai Super Kings,141/5,145/5,RR 7.05,RR 7.91,CSK,5 wicket,Simarjeet Singh
62,"M.Chinnaswamy Stadium, Bengaluru",Group Stage,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Bowling,Royal Challengers Bengaluru,Delhi Capitals,187/9,140/10,RR 9.35,RR 7.30,RCB,47 runs,Cameron Green
63,"Narendra Modi Stadium, Ahmedabad",Group Stage,Gujarat Titan,Kolkata Knight Riders,,,Gujarat Titans,Kolkata Knight Riders,,,,,,,
64,"Arun Jaitley Stadium, Delhi",Group Stage,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Bowling,Delhi Capitals,Lucknow Super Giants,208/4,189/9,RR 10.40,RR 9.45,DC,19 runs,Ishant Sharma
65,"Barsapara Cricket Stadium, Guwahati",Group Stage,Rajasthan Royal,Punjab Kings,Rajasthan Royals,Batting,Rajasthan Royals,Punjab Kings,144/9,145/5,RR 7.20,RR 7.70,PBKS,5 wickets,Sam Curran
66,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunrisers Hyderabad,Gujarat Titans,,,Sunrisers Hyderabad,Gujarat Titans,,,,,,,
67,"Wankhede Stadium, Mumbai",Group Stage,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Bowling,Lucknow Super Giants,Mumbai Indians,214/6,196/6,RR 10.70,RR 9.80,LSG,18 runs,Nicholas Pooran
68,"M.Chinnaswamy Stadium, Bengaluru",Group Stage,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Bowling,Royal Challengers Bengaluru,Chennai Super Kings,218/5,191/7,RR 10.90,RR 9.55,RCB,27 runs,Faf du Plessis
69,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Group Stage,Sunriders Hyderabad,Punjab Kings,Punjab Kings,Batting,Punjab Kings,Sunrisers Hyderabad,214/5,215/6,RR 10.70,RR 11.22,SRH,4 wickets,Abhishek Sharma
70,"Barsapara Cricket Stadium, Guwahati",Group Stage,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Bowling,Rajasthan Royals,Kolkata Knight Riders,,,,,,,
71,"Narendra Modi Stadium, Ahmedabad",Qualifier 1,Kolkata Knight Risers,Sunrisers Hyderabad,Sunrisers Hyderabad,Batting,Sunrisers Hyderabad,Kolkata Knight Riders,159/10,164/2,RR 8.15,RR 12.00,KKR,8 wickets,Mitchell Starc
72,"Narendra Modi Stadium, Ahmedabad",Eliminator,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Bowling,Royal Challengers Bengaluru,Rajasthan Royals,172/8,174/6,RR 8.60,RR 9.16,RR,4 wickets,Ravichandran Ashwin
73,"MA Chidambaram Stadium, Chennai",Qualifier 2,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Bowling,Sunrisers Hyderabad,Rajasthan Royals,175/9,139/7,RR 8.75,RR 6.95,SRH,36 runs,Shahbaz Ahmed
74,"MA Chidambaram Stadium, Chennai",Final,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Batting,Sunrisers Hyderabad,Kolkata Knight Riders,113/10,114/2,RR 6.11,RR 10.86,KKR,8 wickets,Mitchell Starc
